conA_rep1.sam	conA_rep2.sam	conB_rep1.sam	conB_rep2.sam
YBR001C	68	69	58	78
YBR002C	28	23	25	39
YBR003W	107	106	60	61
YBR004C	22	30	19	36
YBR005W	27	39	41	49
YBR006W	124	124	55	70
YBR007C	32	23	29	41
YBR008C	49	16	20	28
YBR009C	446	263	224	343
YBR010W	342	244	220	330
YBR011C	795	565	428	660
YBR012W-B	75	202	92	152
YBR012W-A	0	0	0	0
YBR013C	12	3	5	3
YNCB0007W	0	0	0	0
YBR014C	55	39	19	52
YBR015C	212	129	155	215
YBR016W	110	89	87	84
YBR017C	120	134	121	167
YBR018C	5	8	3	6
YBR019C	5	4	3	1
YNCB0008W	5	1	2	6
YBR020W	0	0	0	0
YBR021W	16	9	17	49
YBR022W	23	18	22	12
YBR023C	96	114	142	161
YBR024W	58	44	23	18
YBR025C	215	375	362	567
YBR026C	193	130	65	90
YBR027C	0	0	0	1
YBR028C	28	19	15	27
YBR029C	119	107	87	113
YBR030W	24	9	20	36
YBR031W	810	1294	2138	3420
YBR032W	1	2	1	2
YBR033W	69	48	21	32
YBR034C	13	15	24	37
YBR035C	144	214	78	102
YNCB0009C	0	1	0	1
YNCB0010W	28	25	37	64
YBR036C	197	178	118	166
YBR037C	49	47	31	34
YBR038W	136	97	77	113
YBR039W	384	353	225	279
YBR040W	1	0	0	1
YBR041W	91	87	69	114
YBR042C	26	40	28	39
YBR043C	52	51	30	56
YBR044C	53	56	30	44
YNCB0011C	1	0	0	0
YBR045C	12	4	9	9
YBR046C	79	108	50	43
YBR047W	1	19	2	4
YBR048W	213	445	726	1064
YBR049C	120	77	87	120
YBR050C	32	34	23	20
YBR052C	349	305	170	162
YBR053C	209	127	65	82
YBR054W	95	99	23	66
YBR055C	53	36	31	51
YNCB0012W	0	0	0	0
YBR056W	236	214	99	116
YNCB0013W	0	0	0	0
YBR056W-A	2	18	10	12
YBR057C	40	37	34	52
YBR058C	82	76	67	101
YBR058C-A	27	43	30	36
YBR059C	209	200	166	249
YBR060C	25	27	27	54
YBR061C	19	19	27	45
YBR062C	49	51	27	41
