conA_rep1.sam	conA_rep2.sam	conB_rep1.sam	conB_rep2.sam
YDR002W	209	225	200	308
YDR003W	66	37	36	47
YDR003W-A	22	12	10	5
YDR004W	48	23	27	32
YDR005C	72	73	51	71
YDR006C	70	74	58	97
YDR007W	54	50	41	50
YDR009W	20	18	8	12
YDR010C	2	4	2	1
YDR011W	207	197	165	234
YDR012W	753	1230	2185	3449
YDR013W	16	6	12	27
YDR014W	25	23	11	26
YDR014W-A	1	0	2	2
YDR016C	18	16	14	14
YDR017C	77	61	39	79
YDR018C	36	13	13	12
YDR019C	397	349	232	323
YDR020C	14	12	15	19
YDR021W	3	2	11	11
YDR022C	19	20	11	14
YNCD0007C	0	0	0	1
YDR023W	209	376	339	575
YDR025W	193	478	691	988
YDR026C	30	46	42	81
YDR027C	100	87	75	96
YDR028C	245	265	179	215
YDR029W	11	11	14	12
YDR030C	27	16	8	14
YDR031W	41	32	9	13
YDR032C	441	416	202	206
YDR033W	504	638	239	303
YDR034C	151	80	46	83
YDR034C-D	45	63	38	56
YDR034C-C	0	0	0	0
YNCD0008W	1	0	0	0
YDR034C-A	0	0	0	0
YNCD0009W	0	0	0	0
YDR034W-B	5	9	4	5
YDR035W	110	596	80	120
YDR036C	37	38	14	18
YDR037W	115	342	195	311
YDR038C	19	24	26	32
YDR039C	14	9	24	21
YDR040C	28	10	29	42
YDR041W	54	49	29	37
YDR042C	1	0	0	0
YNCD0010C	0	1	0	1
YDR043C	67	41	76	106
YDR044W	46	67	45	58
YDR045C	7	6	15	21
YDR046C	25	83	86	155
YDR047W	109	98	124	214
YDR049W	52	32	40	70
YDR050C	2270	3435	1921	2694
YDR051C	48	50	52	90
YDR052C	67	57	68	87
YDR054C	121	99	93	137
YDR055W	156	255	142	185
YDR056C	77	85	51	64
YDR057W	71	67	43	62
YDR058C	23	22	15	24
YNCD0011W	0	0	0	0
YNCD0012W	0	0	0	0
YDR059C	40	41	9	17
YDR060W	29	44	91	184
YDR061W	89	70	38	58
YDR062W	179	185	148	220
YDR063W	50	56	47	43
YDR064W	324	644	1092	1721
YDR065W	16	11	10	22
YDR066C	17	9	13	16
YDR067C	30	34	36	36
YDR068W	43	80	53	57
YDR069C	60	57	29	42
YDR070C	85	62	10	14
YDR071C	71	93	71	106
YDR072C	90	66	71	102
YDR073W	29	22	26	54
YDR074W	1708	1650	1224	1440
YDR075W	13	6	13	18
YDR076W	12	13	9	12
YDR077W	1421	2023	1426	1758
YDR078C	3	10	4	5
YDR079W	24	18	20	18
YDR079C-A	8	7	7	3
YDR080W	80	70	37	73
YDR081C	65	58	51	72
YDR082W	32	14	18	17
YDR083W	24	17	40	72
YDR084C	47	45	21	39
YDR085C	74	74	80	71
YDR086C	52	64	77	87
YDR087C	28	23	36	51
YDR088C	33	36	29	46
YNCD0013C	0	0	0	0
YDR089W	86	100	106	139
YDR090C	30	15	21	26
YDR091C	79	96	134	221
YDR092W	43	49	26	29
YDR093W	118	101	84	158
YDR096W	147	139	116	151
YDR097C	48	68	55	73
YDR098C	80	70	78	97
YNCD0014C	0	0	0	0
YDR098C-B	118	280	135	184
YDR098C-A	0	0	0	0
YDR099W	538	492	252	340
YDR100W	63	73	32	50
YDR101C	19	17	46	110
YDR102C	0	1	0	0
YDR103W	39	50	53	74
YDR104C	53	27	46	35
YDR105C	68	73	56	71
YDR106W	12	5	6	5
YNCD0015C	0	0	0	0
YDR107C	32	16	15	14
YDR108W	40	47	31	30
YDR109C	44	35	33	50
YDR110W	17	25	18	25
YDR111C	15	14	11	14
YDR113C	58	25	41	46
YDR114C	0	0	1	0
YDR115W	28	26	6	21
YDR116C	54	71	43	40
YDR117C	60	53	26	56
YDR118W	34	28	34	36
YDR119W	61	89	110	163
YDR119W-A	125	97	102	97
YDR120C	46	61	61	98
YDR121W	28	22	22	38
YDR122W	194	210	115	127
YDR123C	18	2	10	20
YDR124W	24	16	7	9
YDR125C	24	16	13	18
YDR126W	8	14	14	17
YDR127W	164	537	187	259
YDR128W	67	72	45	60
YDR129C	710	651	354	477
YDR130C	30	22	20	28
YDR131C	44	32	24	31
YDR132C	38	26	20	28
YDR135C	186	208	153	193
YDR137W	40	43	46	67
YDR138W	29	25	38	50
YDR139C	18	20	18	26
YDR140W	55	28	18	28
YDR141C	104	123	98	138
YDR142C	33	28	15	38
YDR143C	29	53	40	85
YDR144C	13	19	30	50
YDR145W	103	112	100	144
YDR146C	99	92	90	108
YDR147W	22	28	18	41
YDR148C	533	371	163	249
YDR150W	295	187	128	168
YDR151C	31	19	28	56
YDR152W	35	43	53	85
YDR153C	90	80	76	121
YDR155C	1070	1346	561	761
YDR156W	8	10	14	25
YDR157W	0	1	1	0
YDR158W	181	1409	219	335
YDR159W	76	61	36	71
YDR160W	36	30	28	37
YDR161W	26	37	55	92
YDR162C	29	26	17	43
YDR163W	20	21	16	33
YDR164C	62	73	45	77
YDR165W	27	25	58	98
YDR166C	87	98	58	90
YDR167W	53	53	58	66
YDR168W	168	169	90	135
YDR169C	104	94	70	82
YDR169C-A	2	0	1	4
YDR170C	237	240	185	231
YNCD0016C	0	0	0	0
YDR170W-A	0	1	1	1
YDR171W	1189	944	526	880
YDR172W	212	271	266	414
YDR173C	19	20	10	21
YDR174W	119	142	157	229
YDR175C	56	61	22	37
YDR176W	55	70	43	79
YDR177W	112	149	88	127
YDR178W	262	239	102	111
YDR179C	11	8	4	8
YDR179W-A	12	10	5	9
YDR180W	16	12	22	31
YDR181C	36	35	34	40
YDR182W	115	90	79	103
YDR182W-A	2	3	1	2
YDR183W	7	14	16	22
YDR184C	8	2	8	16
YDR185C	6	7	7	16
YDR186C	166	107	95	145
YDR188W	283	339	270	387
YDR189W	89	98	69	94
YDR190C	116	111	109	166
YDR191W	11	5	9	10
YDR192C	30	27	18	41
YDR194C	100	114	63	84
YDR194W-A	0	0	0	0
YDR195W	38	36	16	52
YDR196C	95	52	44	64
YDR197W	44	43	31	32
YDR198C	18	12	18	30
YDR200C	83	61	50	68
YDR201W	20	20	17	26
YDR202C	78	59	27	42
YDR204W	96	79	57	64
YDR205W	37	41	36	34
YDR206W	72	46	57	104
YDR207C	35	37	28	65
YDR208W	125	121	109	138
YDR209C	18	22	25	36
YDR210W	0	0	0	0
YDR210W-B	52	76	38	62
YDR210W-A	0	0	0	0
YDR210C-D	109	244	135	199
YDR210C-C	0	0	0	0
YNCD0017W	0	0	0	0
YDR211W	72	98	124	189
YDR212W	200	226	151	250
YDR213W	9	20	20	28
YDR214W	425	370	167	271
YDR215C	6	4	3	5
YDR216W	363	275	126	144
YDR217C	39	35	19	57
YDR218C	0	3	0	2
YDR219C	74	39	50	51
YDR221W	92	68	52	57
YDR222W	39	28	27	52
YDR223W	16	9	7	12
YDR224C	399	352	275	373
YDR225W	345	198	215	277
YDR226W	256	583	342	495
YDR227W	76	54	50	72
YDR228C	37	39	47	70
YDR229W	80	71	51	76
YDR231C	75	79	37	46
YDR232W	146	147	119	168
YDR233C	259	311	330	453
YDR234W	230	260	99	188
YDR235W	44	40	33	53
YDR236C	31	31	20	26
YDR237W	52	90	37	39
YDR238C	320	315	237	385
YDR239C	45	41	31	49
YDR240C	20	14	16	29
YNCD0018W	0	1	0	0
YDR242W	33	27	12	17
YDR243C	24	10	15	34
YDR244W	78	61	45	84
YDR245W	102	87	78	159
YDR246W	51	44	31	27
YDR246W-A	5	2	5	1
YDR247W	80	49	44	52
YDR248C	72	44	32	38
YDR249C	9	6	11	17
YDR251W	222	218	176	181
YDR252W	8	2	4	3
YDR253C	38	9	3	12
YDR254W	75	29	42	32
YDR255C	80	66	41	46
YDR256C	38	14	14	25
YDR257C	54	32	36	47
YDR258C	1276	1178	339	558
YDR259C	18	19	18	23
YDR260C	15	19	12	19
YDR261C	71	54	66	95
YNCD0019C	0	0	0	1
YDR261W-B	60	54	32	45
YDR261W-A	0	0	0	0
YDR261C-D	139	340	135	196
YDR261C-C	0	0	0	0
YNCD0020W	2	1	0	0
YDR262W	142	94	49	93
YDR263C	25	8	8	12
YDR264C	148	156	113	193
YDR265W	31	31	23	25
YDR266C	43	68	87	119
YDR267C	53	34	32	55
YDR268W	17	20	14	14
YDR270W	82	47	41	53
YDR272W	185	159	94	116
YDR273W	10	6	9	16
YDR274C	1	2	0	1
YDR275W	16	15	11	12
YDR276C	343	309	195	242
YDR277C	268	235	234	256
YDR278C	0	0	0	0
YNCD0021C	0	0	0	0
YDR279W	23	15	21	36
YDR280W	39	48	50	53
YDR281C	3	0	2	0
YDR282C	38	25	20	18
YDR283C	87	51	54	85
YDR284C	66	82	66	95
YDR285W	14	12	11	13
YDR286C	18	18	14	15
YDR287W	60	47	28	38
YDR288W	38	27	22	32
YDR289C	47	56	34	63
YDR291W	49	39	30	56
YDR292C	102	130	107	139
YDR293C	520	443	338	406
YDR294C	217	163	151	214
YDR295C	45	69	56	70
YDR296W	73	57	42	56
YDR297W	72	43	50	97
YDR298C	283	251	184	288
YDR299W	19	6	18	42
YDR300C	34	52	53	90
YDR301W	57	72	64	78
YDR302W	19	20	16	19
YDR303C	63	49	50	75
YDR304C	189	184	97	154
YDR305C	29	15	14	30
YDR306C	91	82	48	65
YNCD0022C	0	0	0	0
YDR307W	71	57	40	44
YDR308C	18	25	17	24
YDR309C	76	53	74	116
YDR310C	96	106	92	135
YDR311W	43	41	48	65
YDR312W	24	23	22	41
YDR313C	57	20	28	19
YDR314C	37	14	24	23
YDR315C	17	17	9	21
YDR316W	64	58	27	50
YNCD0023C	0	0	0	0
YDR316W-B	126	335	158	206
YDR316W-A	0	0	0	0
YDR317W	13	6	8	9
YDR318W	25	19	16	37
YDR319C	39	32	33	32
YDR320C	79	76	70	63
YDR320C-A	18	19	13	16
YDR321W	27	75	49	103
YDR322W	48	50	28	47
YDR322C-A	182	133	92	117
YDR323C	25	20	11	23
YDR324C	28	12	44	86
YDR325W	41	32	32	41
YDR326C	81	76	82	94
YDR328C	99	135	94	130
YDR329C	117	99	43	91
YDR330W	120	109	53	59
YDR331W	28	33	36	48
YDR332W	42	32	31	33
YDR333C	55	56	68	113
YDR334W	106	85	65	94
YDR335W	184	155	113	152
YDR336W	16	14	10	22
YDR337W	52	44	31	19
YDR338C	46	45	28	47
YDR339C	12	18	23	49
YNCD0024C	0	0	0	0
YDR341C	132	711	241	365
YDR342C	8595	6413	2788	3434
YDR343C	7581	5767	2484	2892
YDR344C	1	2	2	4
YDR345C	1230	1100	1183	1602
YDR346C	206	154	122	165
YDR347W	98	81	38	59
YDR348C	80	82	56	100
YDR349C	94	72	71	115
YNCD0025W	0	0	0	0
YDR350C	69	50	34	57
YDR351W	60	40	56	69
YDR352W	33	36	32	42
YDR353W	285	338	196	253
YDR354W	42	137	41	71
YDR356W	89	52	49	81
YDR357C	21	16	12	35
YDR358W	180	186	107	115
YDR359C	83	73	59	114
YDR361C	26	26	51	61
YDR362C	48	47	33	45
YDR363W	38	27	27	36
YNCD0026W	0	0	0	0
YDR363W-A	79	102	63	80
YDR364C	26	20	14	30
YDR365C	110	125	103	191
YDR365W-B	124	357	121	204
YDR365W-A	0	0	0	0
YDR366C	6	10	13	8
YDR367W	32	33	22	41
YDR368W	97	99	61	76
YDR369C	33	25	20	32
YDR370C	19	13	8	21
YDR371W	37	51	38	46
YDR372C	84	88	87	120
YDR373W	61	58	32	48
YDR374C	0	0	0	1
YDR374W-A	7	6	9	11
YDR375C	32	42	27	30
YDR376W	56	58	53	53
YDR377W	169	157	103	139
YDR378C	29	30	29	37
YDR379W	59	85	52	78
YDR379C-A	16	12	6	9
YDR380W	20	44	18	18
YDR381W	290	279	269	312
YDR381C-A	20	31	15	26
YDR382W	370	689	1236	1731
YDR383C	24	42	77	90
YDR384C	56	126	59	90
YDR385W	1021	1799	2269	3481
YDR386W	43	27	17	20
YDR387C	61	44	18	43
YDR388W	311	322	189	243
YDR389W	74	56	30	53
YDR390C	74	77	52	101
YNCD0027C	0	0	0	0
YDR391C	50	59	33	41
YDR392W	57	57	34	69
YDR393W	36	26	25	35
YDR394W	269	298	169	240
YDR395W	87	97	121	168
YDR397C	47	51	28	50
YDR398W	23	11	44	80
YDR399W	80	138	175	268
YDR400W	18	34	32	58
YDR402C	4	5	4	8
YDR403W	5	3	5	6
YDR404C	60	67	51	72
YDR405W	76	75	50	61
YDR406W	204	92	72	69
YDR407C	71	63	67	94
YDR408C	111	159	135	204
YDR409W	52	49	72	65
YDR410C	17	19	11	16
YDR411C	101	58	43	86
YDR412W	21	17	33	53
YDR414C	22	24	21	35
YDR415C	51	43	31	30
YDR416W	39	38	30	56
YDR418W	290	673	1081	1570
YDR419W	28	31	27	37
YNCD0028W	0	0	0	0
YDR420W	54	38	43	61
YDR421W	73	40	47	61
YDR422C	99	60	52	67
YDR423C	65	64	49	69
YDR424C	26	21	18	26
YDR425W	39	47	31	39
YDR427W	156	182	104	171
YDR428C	21	14	19	23
YDR429C	130	210	195	361
YDR430C	125	130	76	87
YDR432W	291	326	237	391
YDR434W	82	87	63	79
YDR435C	50	56	33	66
YDR436W	134	135	77	93
YDR437W	9	6	3	3
YDR438W	23	18	15	23
YDR439W	21	24	16	34
YDR440W	24	13	27	28
YDR441C	18	26	40	35
YDR443C	67	48	57	57
YDR444W	72	35	37	58
YNCD0029C	0	0	0	0
YDR446W	0	1	1	3
YDR447C	123	364	526	825
YDR448W	30	22	19	39
YDR449C	17	5	20	51
YDR450W	189	470	771	1175
YDR451C	33	18	7	11
YDR452W	296	280	174	195
YDR453C	104	69	23	24
YDR454C	69	130	129	174
YDR456W	97	78	76	95
YDR457W	226	145	155	247
YDR458C	75	68	57	94
YDR459C	37	18	19	27
YDR460W	46	40	35	47
YDR461W	19	43	44	37
YDR461C-A	19	15	6	10
YDR462W	46	39	17	22
YDR463W	127	91	63	106
YDR464W	93	61	79	105
YDR465C	25	29	59	89
YDR466W	94	94	65	86
YDR468C	59	56	34	46
YDR469W	18	18	23	22
YDR470C	68	52	37	47
YDR471W	113	243	397	562
YNCD0030W	1	3	2	1
YDR472W	28	33	27	50
YDR473C	53	39	37	63
YDR475C	111	98	83	101
YDR476C	51	55	26	41
YDR477W	186	192	125	166
YDR478W	4	4	7	12
YDR479C	129	90	61	89
YDR480W	49	24	21	37
YDR481C	160	156	73	114
YDR482C	13	17	13	23
YDR483W	209	207	165	263
YDR484W	32	33	44	41
YDR485C	105	82	64	80
YDR486C	62	52	39	50
YDR487C	74	221	70	94
YDR488C	37	22	23	17
YDR489W	30	9	20	34
YDR490C	104	103	71	84
YDR492W	21	14	9	24
YDR493W	21	20	12	13
YDR494W	112	95	46	71
YDR495C	56	47	42	57
YDR496C	31	24	38	100
YDR497C	1136	1193	794	1099
YDR498C	30	36	43	65
YDR499W	34	17	25	31
YDR500C	212	324	654	807
YDR501W	34	7	9	27
YDR502C	849	283	116	166
YDR503C	17	23	17	20
YDR504C	14	11	11	12
YDR505C	206	170	113	140
YDR506C	21	20	12	29
YNCD0031C	0	0	0	0
YDR507C	92	84	67	114
YDR508C	102	428	505	734
YDR510W	98	116	94	110
YDR511W	49	44	26	31
YDR512C	50	40	36	42
YDR513W	281	254	165	201
YDR514C	25	12	14	21
YDR515W	40	45	18	27
YDR516C	935	1231	542	620
YDR517W	148	148	122	138
YDR518W	32	29	16	33
YDR519W	44	55	24	41
YDR520C	34	24	29	54
YDR522C	3	2	5	9
YDR523C	1	0	2	1
YDR524C	37	24	23	53
YDR524W-C	494	701	470	761
YDR524C-B	778	1100	774	958
YDR525W	0	0	0	0
YDR525W-A	12	14	6	13
YDR527W	32	25	26	46
YNCD0032C	4	1	4	4
YDR528W	9	5	0	2
YDR529C	363	427	287	366
YDR530C	60	39	29	32
YDR531W	45	89	61	88
YDR532C	38	32	17	30
YDR533C	61	73	23	30
YDR534C	8	4	4	6
YDR536W	16	7	13	15
YDR538W	30	10	21	28
YDR539W	18	8	18	14
YDR540C	18	9	7	6
YDR541C	10	24	14	19
YDR542W	1	0	0	0
YDR545W	200	102	113	156
YEL077C	150	80	85	91
YEL076C-A	3	1	1	1
YEL076C	1	0	2	2
YEL075C	1	0	1	2
YEL073C	19	13	10	18
YEL072W	35	13	13	17
YEL071W	324	330	304	517
YEL070W	33	20	25	8
YEL069C	52	4	17	2
YEL068C	16	8	10	17
YEL067C	7	6	10	3
YEL066W	40	26	24	37
YEL065W	17	34	12	39
YEL064C	16	11	16	13
YEL063C	166	197	73	128
YEL062W	41	37	20	41
YEL061C	52	33	40	49
YEL060C	1218	920	400	462
YEL059C-A	4	8	4	9
YEL059W	1	2	1	0
YEL058W	117	183	136	187
YEL057C	5	7	1	5
YEL056W	62	81	66	63
YEL055C	78	69	113	159
YNCE0001C	0	1	0	0
YEL054C	155	370	702	1026
YEL053C	48	54	37	82
YEL052W	158	104	80	90
YEL051W	175	241	132	203
YEL050C	83	82	55	84
YNCE0002W	0	1	1	2
YNCE0003W	1	0	0	1
YNCE0004C	0	0	0	0
YEL049W	1	1	0	2
YEL048C	6	3	4	9
YEL047C	95	97	64	87
YEL046C	57	135	73	115
YEL044W	45	33	28	36
YEL043W	101	68	80	120
YEL042W	140	116	125	179
YEL041W	146	27	15	23
YEL040W	40	91	119	180
YEL039C	198	180	105	98
YEL038W	63	42	38	45
YEL037C	170	198	149	217
YEL036C	61	60	86	101
YEL035C	3	1	1	0
YEL034W	1105	1527	1449	1987
YEL033W	210	329	294	444
YNCE0005W	0	0	0	0
YEL032W	46	61	54	100
YEL031W	257	321	223	319
YEL030W	30	22	11	30
YEL029C	7	24	13	20
YEL028W	5	1	5	5
YNCE0006W	0	0	0	0
YEL027W	341	341	252	412
YEL026W	19	40	99	102
YEL025C	136	79	74	109
YEL024W	430	371	285	357
YEL023C	18	9	10	23
YEL022W	63	54	81	134
YEL021W	68	77	63	94
YEL020W-A	39	39	29	49
YNCE0007C	5	3	3	4
YEL020C	54	33	28	45
YEL019C	6	2	3	2
YEL018W	16	11	13	28
YEL017C-A	70	87	59	99
YEL017W	79	48	45	47
YEL016C	45	25	22	15
YEL015W	133	121	102	143
YEL014C	1	2	2	1
YEL013W	144	112	102	151
YNCE0008C	0	0	0	0
YEL012W	73	59	34	38
YEL011W	1141	1308	852	1033
YNCE0009C	0	0	0	0
YEL009C-A	2	0	1	0
YNCE0010W	0	0	0	0
YEL009C	1	833	6	9
YEL008W	1	2	1	3
YEL007W	168	226	119	151
YEL006W	43	42	28	34
YEL005C	31	23	13	17
YEL004W	19	18	19	21
YEL003W	20	25	22	29
YEL002C	177	152	104	191
YEL001C	102	105	92	146
YER001W	88	130	86	122
YER002W	29	27	66	82
YER003C	217	156	136	184
YER004W	123	141	56	61
YER005W	51	42	42	68
YER006W	40	66	82	157
YER007W	22	8	10	19
YER007C-A	47	50	60	71
YNCE0011C	2	1	0	0
YER008C	160	146	115	153
YER009W	117	174	145	227
YER010C	41	46	45	46
YER011W	3	0	5	1
YNCE0012W	0	0	0	0
YER012W	191	236	111	161
YER013W	45	43	41	60
YER014W	40	26	22	22
YER014C-A	0	0	0	0
YER015W	76	68	60	49
YER016W	66	57	55	85
YER017C	178	150	121	135
YER018C	28	17	36	22
YER019W	82	67	42	66
YER019C-A	69	78	75	102
YER020W	212	275	160	209
YER021W	351	372	219	287
YER022W	57	49	45	87
YER023W	228	260	112	179
YER024W	136	47	32	41
YER025W	154	196	246	369
YNCE0013W	1	0	0	0
YER026C	328	275	156	208
YER027C	120	90	78	106
YER028C	17	8	20	24
YER029C	41	25	36	49
YER030W	96	117	69	75
YER031C	65	80	80	104
YER032W	50	36	34	67
YER033C	67	49	41	42
YER034W	24	24	11	24
YER035W	67	21	30	26
YER036C	121	174	211	368
YER037W	64	31	11	19
YER038C	12	10	4	8
YER038W-A	0	0	0	0
YER039C	15	6	3	4
YER039C-A	7	5	1	1
YER040W	37	44	22	35
YER041W	36	11	26	21
YER042W	137	24	3	11
YER043C	822	1220	632	922
YER044C	136	123	103	132
YER044C-A	4	3	3	5
YER045C	51	34	37	45
YER046W	11	12	6	7
YER047C	84	64	54	77
YER048C	210	256	135	188
YNCE0014W	0	0	0	0
YER048W-A	43	27	34	42
YER049W	49	64	89	168
YER050C	38	46	29	39
YER051W	34	19	15	28
YER052C	41	232	45	79
YER053C	369	297	211	271
YER053C-A	108	111	120	143
YER054C	176	133	81	98
YER055C	126	504	172	268
YER056C	56	151	167	261
YER056C-A	114	289	438	573
YER057C	79	109	61	82
YER058W	20	20	12	13
YER059W	46	45	26	43
YER060W	34	41	32	41
YER060W-A	36	27	38	26
YER061C	59	66	70	82
YER062C	117	129	90	133
YER063W	69	76	64	68
YER064C	7	44	82	96
YER065C	61	31	44	42
YNCE0015C	0	0	0	0
YER066W	21	11	19	12
YER067W	862	890	377	409
YER068W	85	60	61	117
YER069W	215	231	73	86
YER070W	72	88	107	140
YER071C	12	14	9	24
YER072W	72	123	108	156
YER073W	57	440	179	269
YER074W	236	594	960	1339
YER074W-A	19	21	26	18
YER075C	25	21	28	43
YNCE0016C	0	0	0	0
YER076C	20	19	15	26
YER077C	32	24	26	47
YER078C	54	57	36	56
YER078W-A	2	2	0	0
YER079W	78	84	54	61
YER080W	139	146	77	109
YNCE0017W	13	9	9	10
YER081W	271	215	168	188
YER082C	54	34	67	109
YER083C	62	80	50	83
YER084W	3	1	0	0
YER085C	0	1	0	1
YER086W	143	385	200	246
YER087W	46	42	15	35
YER087C-B	44	44	41	55
YER088C	233	190	101	181
YER089C	183	166	101	163
YER090W	101	415	121	156
YER091C	1527	515	215	203
YER092W	25	19	30	19
YER093C	81	57	63	77
YER093C-A	19	20	7	17
YER094C	233	286	148	208
YER095W	123	64	82	83
YER096W	9	6	9	5
YNCE0018W	0	0	0	0
YER098W	78	58	57	48
YER099C	98	61	52	69
YER100W	72	59	44	65
YER101C	50	31	19	34
YER102W	336	783	1247	1860
YER103W	720	934	123	225
YER104W	20	8	11	11
YER105C	139	154	138	189
YER106W	1	0	0	0
YER107C	58	60	53	60
YER110C	89	98	166	241
YER111C	57	54	62	55
YER112W	32	41	37	46
YER113C	44	35	51	66
YER114C	127	71	61	113
YER115C	12	12	12	22
YER116C	25	13	15	15
YER117W	227	504	764	1018
YER118C	36	32	52	63
YER119C	154	93	38	56
YER120W	246	194	139	201
YER121W	21	19	11	10
YER122C	188	152	121	202
YER123W	43	41	37	48
YER124C	155	168	94	160
YER125W	253	215	157	231
YER126C	24	27	42	65
YER127W	18	7	25	56
YER128W	7	10	8	4
YER129W	81	69	67	106
YER130C	26	35	47	58
YER131W	116	408	559	945
YNCE0019W	8	3	11	11
YER132C	39	19	21	34
YNCE0020C	1	0	0	1
YER133W	307	272	220	331
YNCE0021C	0	1	0	0
YNCE0022C	0	0	0	0
YER134C	51	48	45	50
YER135C	2	2	0	1
YNCE0023W	0	0	0	0
YER136W	266	226	133	213
YER137C	3	2	6	4
YNCE0024W	30	14	15	20
YNCE0025C	0	0	0	0
YER138C	167	388	188	282
YER137C-A	0	0	0	0
YER138W-A	0	1	0	1
YER139C	24	21	19	28
YER140W	23	14	23	34
YER141W	247	268	162	213
YER142C	61	69	22	29
YER143W	147	151	84	71
YER144C	70	73	55	85
YER145C	152	217	253	405
YER145C-A	1	2	0	1
YER146W	0	2	3	1
YER147C	47	26	15	38
YER148W	94	90	97	130
YER149C	31	28	25	43
YER150W	147	147	48	84
YNCE0026W	0	0	0	0
YER151C	114	121	85	124
YER152C	130	108	46	84
YER153C	15	11	9	18
YER154W	64	73	46	69
YER155C	193	169	172	214
YER156C	47	62	60	114
YER157W	53	34	28	50
YNCE0027C	0	0	0	0
YER158C	62	67	44	69
YER159C	92	97	79	114
YNCE0028C	0	0	0	1
YER160C	84	228	103	143
YER159C-A	0	0	0	0
YER161C	48	55	42	59
YER162C	80	60	61	67
YER163C	67	38	33	30
YER164W	152	139	119	161
YER165W	400	641	740	1087
YER166W	183	150	98	138
YER167W	44	47	50	70
YER168C	38	47	51	88
YER169W	83	57	41	47
YER170W	20	21	12	15
YER171W	50	43	44	63
YER172C	85	66	74	115
YER173W	23	13	18	31
YER174C	59	21	39	68
YER175C	40	219	13	24
YER175W-A	4	1	1	3
YER176W	104	41	69	107
YER177W	1110	1246	691	949
YER178W	669	686	563	832
YER179W	10	1	3	3
YER180C	20	14	10	16
YER180C-A	6	3	3	3
YNCE0029C	0	0	0	0
YER181C	0	0	0	0
YER182W	90	93	36	52
YER183C	24	20	18	34
YER184C	31	17	17	24
YER185W	5	0	1	5
YER186C	65	32	32	53
YER187W	1	3	2	1
YER188W	7	6	3	9
YER188C-A	1	0	2	1
YER189W	4	3	3	1
YER190W	125	79	74	87
YER190C-B	0	0	0	0
YFL068W	19	16	13	31
YFL067W	12	13	10	9
YFL066C	52	44	35	46
YFL065C	5	3	1	1
YFL064C	2	3	3	7
YFL062W	34	36	21	27
YFL061W	7	2	5	4
YFL060C	3	7	5	8
YFL059W	11	8	9	14
YFL058W	1	0	1	2
YFL056C	27	20	20	29
YFL055W	92	23	10	9
YFL054C	317	180	104	97
YFL053W	53	19	29	20
YFL052W	87	54	51	38
YFL051C	25	18	16	13
YFL050C	45	15	23	28
YFL049W	67	43	36	66
YFL048C	80	106	65	106
YFL047W	47	70	58	67
YFL046W	38	42	19	24
YFL045C	192	216	273	449
YFL044C	70	48	30	40
YFL042C	140	112	59	67
YFL041W-A	6	4	1	4
YFL041W	107	89	52	80
YFL040W	11	9	5	6
YFL039C	1651	1833	1283	1782
YFL038C	301	342	209	256
YFL037W	429	378	277	408
YNCF0001C	25	21	16	21
YFL036W	167	146	111	104
YFL034C-B	26	20	26	32
YFL034C-A	18	28	96	142
YFL034W	81	69	59	80
YFL033C	119	85	70	90
YFL031W	390	411	313	388
YFL030W	121	86	36	29
YFL029C	42	31	27	43
YFL028C	47	59	32	53
YFL027C	37	20	35	55
YFL026W	156	241	198	361
YFL025C	44	36	27	31
YFL024C	54	43	37	66
YFL023W	29	27	34	66
YFL022C	118	161	230	266
YFL021W	133	154	51	85
YFL020C	4	0	0	4
YFL019C	5	6	1	6
YNCF0002W	0	0	0	0
YFL018C	456	468	249	284
YFL017W-A	12	19	8	13
YFL017C	33	19	23	23
YFL016C	313	253	139	221
YFL015C	4	0	0	2
YFL014W	2008	824	381	388
YFL013C	88	105	68	128
YFL012W	0	0	0	0
YFL011W	2	0	0	1
YFL010W-A	14	16	9	20
YFL010C	37	56	29	58
YFL009W	76	47	57	96
YFL008W	97	71	80	108
YFL007W	217	197	114	160
YFL005W	126	98	75	112
YNCF0003C	16	23	13	19
YFL004W	206	252	158	232
YFL003C	2	3	0	5
YNCF0004C	0	0	0	0
YFL002W-A	59	73	41	65
YFL002W-B	0	0	0	0
YFL002C	27	33	39	76
YFL001W	16	23	26	30
YFR001W	31	29	47	98
YFR002W	87	113	85	142
YFR003C	56	83	47	63
YFR004W	185	188	132	158
YFR005C	20	25	27	42
YFR006W	82	105	72	133
YNCF0005C	0	0	0	0
YFR007W	32	21	9	15
YFR008W	28	10	13	20
YNCF0006W	0	0	0	0
YFR009W	168	182	156	265
YFR010W	239	209	136	191
YFR011C	52	57	24	43
YNCF0007W	0	0	0	0
YFR012W	1	0	0	2
YFR012W-A	0	0	0	0
YFR013W	87	72	64	66
YFR014C	168	180	108	121
YFR015C	978	1163	752	945
YFR016C	212	237	168	199
YNCF0008C	0	0	0	0
YFR017C	246	226	86	125
YFR018C	56	60	56	96
YFR019W	129	84	83	76
YNCF0009C	0	0	0	1
YFR020W	108	100	58	79
YFR021W	52	38	34	46
YFR022W	49	24	23	32
YNCF0010C	0	0	0	0
YFR023W	0	0	1	0
YFR024C-A	182	196	100	141
YFR025C	63	82	50	52
YNCF0011C	0	0	0	0
YFR026C	11	7	6	4
YFR027W	16	12	8	19
YFR028C	66	64	74	101
